8.235541	3.864304	
7.526668	3.831366	
8.647251	4.627791	
7.585055	4.081619	
8.609458	4.120409	
7.730140	3.928300	
9.051419	4.011651	
7.800807	2.931730	
7.700948	3.792284	
8.262052	3.892853	
7.862764	3.699630	
7.904475	4.603370	
8.041268	3.918925	
6.972718	4.621306	
7.361101	4.936382	
8.643453	5.589313	
8.525463	3.954939	
7.107646	3.533156	
7.233995	3.858469	
7.668512	5.017811	
7.760930	4.972408	
7.578474	5.229949	
8.630077	3.966317	
9.289269	3.973542	
7.497083	5.300628	
8.446360	4.566112	
7.687119	4.631543	
7.345297	4.749477	
8.347820	4.326657	
8.079655	4.608212	
8.140327	5.518130	
8.469513	4.793444	
7.200206	4.802825	
7.878418	5.637263	
7.625283	5.201248	
7.643923	5.223584	
6.850235	4.920292	
8.541172	5.668248	
8.077457	4.812195	
7.152933	4.561813	
6.664397	4.734825	
8.124408	5.490133	
7.894108	4.142294	
8.421484	5.597848	
7.920080	5.924872	
7.487892	5.036134	
7.955780	5.317223	
8.267405	5.552856	
7.722259	5.160393	
7.693880	6.138825	
6.158721	4.539952	
8.363250	6.179987	
7.864289	5.841489	
7.287548	4.914054	
7.297611	5.479637	
8.329820	5.520065	
7.303088	6.429731	
8.431081	6.174154	
7.508587	6.203366	
6.989582	7.056606	
7.903982	5.526167	
7.444387	6.270313	
7.661383	5.229665	
7.772733	5.243941	
7.846059	5.983264	
7.457677	5.839214	
8.619265	6.372092	
6.427230	5.376102	
8.465029	5.293142	
7.298854	7.704285	
7.541153	7.089976	
8.346729	5.180938	
7.648513	6.758756	
7.794707	6.746670	
8.240265	7.324950	
7.740638	7.473545	
6.929437	6.112428	
7.467564	6.249144	
7.931100	7.275579	
7.683815	6.993628	
6.624246	7.245039	
8.068074	5.741888	
8.170195	6.189915	
7.187935	5.644611	
6.047885	8.036132	
7.276533	6.435435	
7.715855	6.648807	
6.635135	7.235480	
7.440840	5.313292	
8.107828	7.187909	
7.059427	6.159290	
7.937858	6.865943	
6.774563	7.577797	
7.444125	5.869524	
6.949365	6.284966	
7.495720	6.968274	
6.313848	5.728224	
6.462475	6.532973	
6.785519	6.763287	
6.873778	7.155298	
5.911186	6.919392	
6.193069	6.487719	
7.455732	8.046244	
6.672442	7.430435	
8.194870	7.776718	
7.267032	6.232735	
7.041197	7.170398	
6.186970	7.017872	
6.370743	7.590379	
6.699928	6.712194	
6.430140	6.869901	
6.408026	8.330645	
7.164397	6.327462	
6.843198	7.135711	
7.076992	8.422313	
5.190378	7.412620	
8.316820	7.232879	
7.128979	7.364864	
6.253702	7.801960	
6.748760	7.506078	
7.640912	7.412111	
6.672530	6.783070	
6.339694	7.449599	
6.553659	8.189119	
5.700041	8.059978	
6.039364	7.928516	
